Date,Open,High,Low,Close,Adj Close,Volume
1989-09-26,0.0,8.25,7.5,8.125,0.3870864510536194,2322600
1989-09-27,0.0,8.375,7.875,8.25,0.39304161071777344,812400
1989-09-28,0.0,9.0625,8.5,9.0,0.4287726581096649,964400
1989-09-29,0.0,9.125,8.6875,8.6875,0.413884699344635,401200
1989-10-02,0.0,9.1875,8.8125,9.125,0.4347277879714966,277200
1989-10-03,0.0,9.8125,9.1875,9.3125,0.4436604082584381,546800
1989-10-04,0.0,9.4375,9.25,9.375,0.4466380178928375,279200
1989-10-05,0.0,9.4375,9.0,9.125,0.4347277879714966,182600
1989-10-06,0.0,9.25,8.875,9.0,0.4287726581096649,193400
1989-10-09,0.0,9.0625,8.875,9.0,0.4287726581096649,52200
1989-10-10,0.0,9.0625,8.25,8.6875,0.413884699344635,340400
1989-10-11,0.0,8.75,8.4375,8.5,0.40495190024375916,69600
1989-10-12,0.0,8.625,8.25,8.3125,0.3960191607475281,98000
1989-10-13,0.0,8.3125,7.5625,7.5625,0.36028799414634705,142600
1989-10-16,0.0,8.3125,6.875,8.3125,0.3960191607475281,364200
1989-10-17,0.0,8.3125,7.875,8.0625,0.3841087520122528,211000
1989-10-18,0.0,8.375,7.9375,8.375,0.3989967107772827,90800
1989-10-19,0.0,8.5625,8.375,8.5,0.40495190024375916,68200
1989-10-20,0.0,9.125,8.6875,8.8125,0.4198397397994995,83800
1989-10-23,0.0,8.8125,8.5625,8.5625,0.40792953968048096,27800
1989-10-24,0.0,8.5,8.0625,8.1875,0.3900640606880188,112600
1989-10-25,0.0,8.3125,8.1875,8.1875,0.3900640606880188,77600
1989-10-26,0.0,8.125,7.75,7.75,0.3692207336425781,22800
1989-10-27,0.0,7.875,7.6875,7.75,0.3692207336425781,43400
1989-10-30,0.0,7.9375,7.75,7.9375,0.3781534731388092,25400
1989-10-31,0.0,7.9375,7.75,7.9375,0.3781534731388092,57400
1989-11-01,0.0,8.0,7.875,8.0,0.38113099336624146,58200
1989-11-02,0.0,8.0,8.0,8.0,0.38113099336624146,1200
1989-11-03,0.0,7.9375,7.75,7.875,0.37517595291137695,18200
1989-11-06,0.0,7.875,7.3125,7.3125,0.3483777642250061,116000
1989-11-07,0.0,7.25,7.125,7.125,0.33944499492645264,231800
1989-11-08,0.0,7.375,7.125,7.375,0.35135531425476074,185400
1989-11-09,0.0,7.8125,7.5,7.5625,0.36028799414634705,171800
1989-11-10,0.0,7.8125,7.5625,7.8125,0.3721984922885895,30000
1989-11-13,0.0,7.875,7.6875,7.6875,0.3662431538105011,45400
1989-11-14,0.0,7.75,7.75,7.75,0.3692207336425781,10800
1989-11-15,0.0,7.8125,7.6875,7.6875,0.3662431538105011,38400
1989-11-16,0.0,7.75,7.75,7.75,0.3692207336425781,4800
1989-11-17,0.0,7.75,7.625,7.6875,0.3662431538105011,17800
1989-11-20,0.0,7.75,7.6875,7.75,0.3692207336425781,46200
1989-11-21,0.0,7.9375,7.6875,7.875,0.37517595291137695,88600
1989-11-22,0.0,7.8125,7.6875,7.75,0.3692207336425781,60600
1989-11-24,0.0,7.8125,7.6875,7.6875,0.3662431538105011,9000
1989-11-27,0.0,7.5625,7.4375,7.5,0.35731041431427,39000
1989-11-28,0.0,7.5,7.4375,7.4375,0.3543330132961273,19600
1989-11-29,0.0,7.4375,7.25,7.25,0.3454001843929291,76000
1989-11-30,0.0,7.375,7.25,7.25,0.3454001843929291,30800
1989-12-01,0.0,7.375,7.1875,7.3125,0.3483777642250061,54000
1989-12-04,0.0,7.3125,7.125,7.25,0.3454001843929291,47600
1989-12-05,0.0,7.25,7.25,7.25,0.3454001843929291,32800
1989-12-06,0.0,7.25,7.0625,7.125,0.33944499492645264,8400
1989-12-07,0.0,7.25,7.0625,7.0625,0.33646726608276367,35400
1989-12-08,0.0,7.0625,6.5,6.625,0.31562426686286926,166200
1989-12-11,0.0,6.6875,6.5,6.625,0.31562426686286926,253400
