Date,Open,High,Low,Close,Adj Close,Volume
1998-07-10,10.0,10.0,9.625,9.625,7.230740547180176,24800
1998-07-13,10.0,10.0,10.0,10.0,7.512455463409424,2800
1998-07-14,9.75,9.75,9.75,9.75,7.324647903442383,1800
1998-07-15,9.0,9.0,9.0,9.0,6.7612128257751465,3000
1998-07-16,9.5,9.5,9.0,9.3125,6.995977401733398,20800
1998-07-17,9.3125,9.6875,9.1875,9.4375,7.089879035949707,13600
1998-07-20,9.3125,9.875,8.5,9.125,6.855118274688721,96800
1998-07-21,9.0625,9.625,8.8125,8.875,6.667307376861572,168800
1998-07-22,9.125,9.125,8.8125,8.875,6.667307376861572,46200
1998-07-23,8.625,9.0,8.53125,8.53125,6.409065246582031,28400
1998-07-24,8.625,8.625,7.65625,8.5,6.385590553283691,56200
1998-07-27,8.0,8.5,7.75,8.0625,6.056919097900391,73400
1998-07-28,8.125,8.125,7.375,7.75,5.822155952453613,30400
1998-07-29,7.75,7.75,7.15625,7.375,5.5404372215271,18800
1998-07-30,7.75,8.5,7.75,8.4375,6.338636875152588,16400
1998-07-31,8.25,8.375,8.125,8.375,6.291683197021484,11000
1998-08-03,8.4375,8.4375,8.125,8.125,6.103870391845703,1600
1998-08-04,8.1875,8.1875,7.8125,7.8125,5.869107246398926,76200
1998-08-05,7.75,8.1875,7.75,7.9375,5.963013648986816,8400
1998-08-06,7.75,7.75,7.5625,7.6875,5.775202751159668,59800
1998-08-07,8.5,8.5,8.0625,8.1875,6.150825500488281,7200
1998-08-10,8.6875,8.6875,8.0625,8.0625,6.056919097900391,3800
1998-08-11,7.5,8.5625,7.5,7.84375,5.892584800720215,9000
1998-08-12,8.0,8.0,7.375,7.4375,5.587390422821045,42400
1998-08-13,7.25,7.375,6.5,6.8125,5.117860317230225,85600
1998-08-14,7.0625,7.0625,6.65625,7.0,5.258720874786377,100800
1998-08-17,7.0,7.0625,6.96875,7.0,5.258720874786377,22000
1998-08-18,7.0,7.21875,7.0,7.125,5.352624893188477,9000
1998-08-19,7.21875,7.3125,7.0625,7.1875,5.39957857131958,112400
1998-08-20,7.4375,7.4375,7.0625,7.21875,5.423055648803711,7800
1998-08-21,7.0625,7.1875,6.9375,7.0625,5.305672645568848,9800
1998-08-24,7.3125,7.3125,7.0625,7.0625,5.305672645568848,9400
1998-08-25,7.625,8.375,7.5,7.8125,5.869107246398926,71200
1998-08-26,7.8125,7.875,7.625,7.875,5.916059970855713,10200
1998-08-27,7.5,7.8125,7.5,7.8125,5.869107246398926,2600
1998-08-28,7.125,7.8125,7.125,7.3125,5.493483066558838,6800
1998-08-31,7.5,7.75,6.9375,6.9375,5.211764812469482,35400
1998-09-01,7.0,7.5,6.875,7.1875,5.39957857131958,17200
1998-09-02,7.1875,7.4375,6.875,7.0,5.258720874786377,30800
1998-09-03,6.9375,7.0625,6.75,7.0625,5.305672645568848,5200
1998-09-04,7.0625,7.3125,7.0,7.1875,5.39957857131958,60800
1998-09-08,7.1875,7.1875,6.9375,7.0,5.258720874786377,7000
1998-09-09,7.0625,7.125,6.8125,6.9375,5.211764812469482,12400
1998-09-10,7.0,7.0,6.9375,6.9375,5.211764812469482,43200
1998-09-11,7.0625,7.0625,7.0625,7.0625,5.305672645568848,400
1998-09-14,7.0,7.0,6.875,6.875,5.164815902709961,28200
1998-09-15,7.0625,7.0625,6.9375,7.0,5.258720874786377,35800
1998-09-16,7.0625,7.0625,7.0,7.0,5.258720874786377,27600
1998-09-17,7.125,7.125,6.875,7.0625,5.305672645568848,60000
1998-09-18,6.75,7.0,6.75,6.9375,5.211764812469482,17200
1998-09-21,7.0,7.0625,6.625,6.875,5.164815902709961,14800
1998-09-22,6.875,6.875,6.75,6.875,5.164815902709961,5600
1998-09-23,7.0,7.1875,6.96875,7.1875,5.39957857131958,80800
1998-09-24,7.0,7.3125,7.0,7.25,5.446531772613525,16800
1998-09-25,7.0,7.0,7.0,7.0,5.258720874786377,200
1998-09-28,7.125,7.25,7.125,7.25,5.446531772613525,5200
1998-09-29,7.375,7.375,7.0,7.0,5.258720874786377,14000
1998-09-30,7.0,7.25,7.0,7.25,5.446531772613525,1200
1998-10-01,7.0,7.0,7.0,7.0,5.258720874786377,3400
1998-10-02,7.4375,7.4375,7.25,7.25,5.446531772613525,2200
1998-10-05,7.4375,7.4375,6.8125,7.0,5.258720874786377,12800
1998-10-06,7.0,7.0,6.8125,6.8125,5.117860317230225,15000
1998-10-07,6.125,6.875,6.125,6.1875,4.6483354568481445,30000
1998-10-08,6.0625,6.0625,5.375,5.5,4.131852149963379,17600
1998-10-09,5.5625,5.8125,5.5625,5.75,4.319662094116211,6400
1998-10-12,5.875,6.5625,5.875,6.5625,4.930050849914551,19200
1998-10-13,6.625,7.125,6.625,6.6875,5.023955345153809,21800
1998-10-14,6.625,7.125,6.5625,7.125,5.352624893188477,36400
1998-10-15,7.25,7.25,7.125,7.25,5.446531772613525,17600
1998-10-16,7.3125,7.5,7.0625,7.0625,5.305672645568848,45600
1998-10-19,7.4375,8.375,7.4375,8.3125,6.2447309494018555,37000
1998-10-20,8.375,8.875,8.375,8.75,6.57340145111084,39800
1998-10-21,8.875,9.375,8.5,9.28125,6.972498416900635,26000
1998-10-22,10.1875,10.5,9.6875,10.0,7.512455463409424,130000
1998-10-23,10.375,10.5625,9.96875,10.125,7.606364727020264,45000
1998-10-26,10.5,10.5625,10.125,10.125,7.606364727020264,54200
1998-10-27,10.0625,10.25,9.75,9.9375,7.465506553649902,33400
1998-10-28,9.375,9.5,8.75,9.125,6.855118274688721,55800
1998-10-29,9.25,9.8125,9.0,9.625,7.230740547180176,39600
1998-10-30,9.9375,11.0,9.875,10.6875,8.028936386108398,36400
1998-11-02,10.6875,11.46875,10.4375,11.15625,8.381086349487305,32600
1998-11-03,11.375,11.625,11.21875,11.625,8.733235359191895,30200
1998-11-04,12.0,12.3125,11.4375,12.0,9.0149507522583,17400
1998-11-05,11.875,12.4375,11.75,11.9375,8.967994689941406,46600
1998-11-06,11.9375,13.1875,11.9375,13.0,9.766192436218262,23600
1998-11-09,13.9375,13.9375,12.9375,12.9375,9.719240188598633,25800
1998-11-10,12.9375,13.375,12.9375,13.0,9.766192436218262,14800
1998-11-11,13.375,13.53125,12.875,13.15625,9.883581161499023,77400
1998-11-12,12.9375,13.09375,12.5,12.9375,9.719240188598633,16800
1998-11-13,13.0,13.5,13.0,13.375,10.047910690307617,50800
1998-11-16,13.5625,13.6875,13.125,13.125,9.860101699829102,47400
1998-11-17,12.875,13.125,12.25,12.9375,9.719240188598633,54800
1998-11-18,12.75,13.3125,12.75,12.78125,9.601858139038086,23200
1998-11-19,12.75,13.0,12.125,12.125,9.108854293823242,26800
1998-11-20,12.0625,12.125,11.25,11.75,8.827138900756836,32200
1998-11-23,11.5,11.75,11.5,11.625,8.733235359191895,29200
1998-11-24,11.25,12.375,11.25,12.375,9.296670913696289,28000
1998-11-25,12.25,12.375,12.25,12.25,9.202759742736816,81400
1998-11-27,12.3125,12.375,12.25,12.3125,9.249713897705078,23000
1998-11-30,12.375,12.375,11.75,11.75,8.827138900756836,7600
1998-12-01,11.6875,12.0,11.625,11.8125,8.874092102050781,5600
1998-12-02,11.8125,11.875,11.6875,11.875,8.921043395996094,2600
1998-12-03,11.875,11.875,11.625,11.625,8.733235359191895,36400
1998-12-04,11.8125,11.875,11.515625,11.53125,8.662803649902344,70800
1998-12-07,11.5625,11.75,11.5,11.5,8.639324188232422,101200
1998-12-08,11.4375,12.5,11.4375,12.125,9.108854293823242,106000
1998-12-09,11.875,12.4375,11.875,12.4375,9.343615531921387,21600
1998-12-10,12.6875,12.9375,12.3125,12.3125,9.249713897705078,13800
1998-12-11,12.3125,12.5,12.25,12.25,9.202759742736816,4600
1998-12-14,12.0625,12.625,12.0625,12.625,9.484477043151855,12200
1998-12-15,12.625,12.6875,12.4375,12.5,9.390569686889648,16200
1998-12-16,12.75,12.875,12.125,12.875,9.672285079956055,26400
1998-12-17,13.0,14.5,13.0,14.125,10.611345291137695,42600
1998-12-18,14.5,15.75,14.4375,15.375,11.550405502319336,83400
1998-12-21,15.9375,17.0,15.375,16.75,12.583366394042969,57800
1998-12-22,15.6875,16.25,15.0625,15.75,11.832119941711426,79400
1998-12-23,15.4375,16.75,15.4375,16.0,12.019928932189941,44000
1998-12-24,15.75,16.0,15.5,16.0,12.019928932189941,9000
1998-12-28,15.75,16.1875,15.75,16.125,12.113838195800781,20200
1998-12-29,15.9375,16.125,15.9375,15.9375,11.972977638244629,22200
1998-12-30,16.1875,16.5,15.9375,16.125,12.113838195800781,23600
1998-12-31,16.5,17.1875,16.5,17.1875,12.912040710449219,22400
1999-01-04,17.6875,17.6875,16.75,17.125,12.865082740783691,17000
1999-01-05,16.875,17.375,16.8125,16.8125,12.63032054901123,14000
1999-01-06,16.875,17.4375,16.8125,16.8125,12.63032054901123,14000
1999-01-07,16.5,16.5625,15.3125,15.875,11.961601257324219,30400
1999-01-08,16.0,16.8125,16.0,16.25,12.244161605834961,166600
1999-01-11,16.125,17.0,15.875,15.875,11.961601257324219,16800
1999-01-12,15.75,16.3125,15.0,15.5,11.679043769836426,11400
1999-01-13,14.5,15.5,13.625,15.4375,11.63194751739502,29000
1999-01-14,14.875,15.9375,14.875,15.5,11.679043769836426,48000
1999-01-15,15.875,15.875,15.375,15.375,11.584858894348145,11200
1999-01-19,15.75,15.75,15.3125,15.3125,11.537762641906738,25600
1999-01-20,15.1875,16.625,15.1875,16.28125,12.2677001953125,46200
1999-01-21,16.125,16.375,16.0625,16.15625,12.17352294921875,22200
1999-01-22,16.0625,16.75,16.0625,16.75,12.62090015411377,24200
1999-01-25,16.4375,16.875,16.4375,16.875,12.715084075927734,7000
1999-01-26,16.875,17.625,16.5625,17.25,12.997645378112793,54600
1999-01-27,17.6875,17.6875,17.3125,17.4375,13.138922691345215,36800
1999-01-28,17.75,17.75,17.25,17.4375,13.138922691345215,12600
1999-01-29,17.25,18.0,17.25,17.75,13.37438678741455,22600
1999-02-01,18.5,18.6875,17.5,18.25,13.751128196716309,33400
1999-02-02,18.75,18.75,17.75,18.0,13.562763214111328,28000
1999-02-03,18.0,18.3125,18.0,18.0,13.562763214111328,36000
1999-02-04,18.125,18.4375,17.875,17.875,13.468576431274414,7000
1999-02-05,18.375,18.375,17.1875,17.1875,12.950551986694336,22200
1999-02-08,17.0,17.0,16.0625,16.4375,12.385440826416016,36200
1999-02-09,16.125,16.1875,15.6875,15.9375,12.00869369506836,40200
1999-02-10,15.75,16.0,15.6875,16.0,12.055784225463867,20800
1999-02-11,16.25,18.625,16.0,18.0625,13.609856605529785,134600
1999-02-12,18.25,18.6875,18.0625,18.3125,13.798222541809082,69600
1999-02-16,18.3125,19.1875,18.3125,19.125,14.410435676574707,52600
1999-02-17,19.0625,19.1875,18.4375,19.0625,14.363334655761719,31600
1999-02-18,19.1875,19.1875,17.375,17.5,13.186016082763672,32000
1999-02-19,17.90625,18.1875,17.75,18.1875,13.704042434692383,8400
1999-02-22,18.1875,19.0,18.1875,18.625,14.03369140625,12200
1999-02-23,17.9375,18.75,17.875,18.0,13.562763214111328,18200
1999-02-24,18.375,18.5625,18.0,18.0,13.562763214111328,9800
1999-02-25,18.0,18.0625,17.375,18.0625,13.609856605529785,59800
1999-02-26,18.5,19.6875,18.5,19.1875,14.457521438598633,138600
1999-03-01,19.625,20.0,19.3125,19.6875,14.834274291992188,70800
1999-03-02,19.75,20.0,19.5,19.59375,14.76363468170166,51800
1999-03-03,19.5625,19.9375,16.0,17.625,13.280204772949219,53200
1999-03-04,17.5,18.25,16.25,18.25,13.751128196716309,55600
1999-03-05,18.5,18.5,18.0,18.0625,13.609856605529785,27400
1999-03-08,18.5,18.875,17.625,18.125,13.656946182250977,45800
1999-03-09,17.875,18.375,17.6875,18.25,13.751128196716309,19200
1999-03-10,17.8125,18.25,17.8125,18.0,13.562763214111328,11600
1999-03-11,18.0,18.0,17.0,17.4375,13.138922691345215,22800
1999-03-12,17.0,17.4375,16.5625,17.375,13.091835021972656,13400
1999-03-15,17.375,17.375,15.5,15.5625,11.726133346557617,32200
1999-03-16,15.5,16.375,15.375,15.59375,11.749680519104004,11800
1999-03-17,15.5,15.5,14.5,15.0,11.302300453186035,21200
1999-03-18,14.75,14.75,14.0,14.4375,10.878461837768555,126200
1999-03-19,13.9375,14.9375,13.9375,14.75,11.11392593383789,66000
1999-03-22,14.5625,15.0,14.125,14.3125,10.784273147583008,19800
1999-03-23,13.5,14.125,12.5,13.625,10.266258239746094,65400
1999-03-24,13.75,14.5,13.6875,14.25,10.73718547821045,25400
1999-03-25,14.5,15.8125,14.5,15.8125,11.914507865905762,43600
1999-03-26,15.75,15.75,15.0,15.625,11.773233413696289,10600
1999-03-29,15.0,16.125,15.0,15.5,11.679043769836426,4600
1999-03-30,14.75,15.8125,14.75,15.375,11.584858894348145,14400
1999-03-31,14.75,15.75,14.75,15.5,11.679043769836426,22200
1999-04-01,15.625,16.1875,15.5625,16.0,12.055784225463867,22200
1999-04-05,15.6875,16.75,15.625,15.96875,12.032235145568848,32400
1999-04-06,16.0,16.71875,16.0,16.625,12.526714324951172,14800
1999-04-07,16.625,16.8125,15.90625,16.8125,12.667989730834961,12400
1999-04-08,16.5,16.5,16.0,16.0,12.091745376586914,3200
1999-04-09,16.0,16.5,15.5625,16.0,12.091745376586914,36400
1999-04-12,15.625,16.125,14.375,16.125,12.186214447021484,16000
1999-04-13,15.0625,15.75,15.0625,15.75,11.902812957763672,1000
1999-04-14,15.5,16.5,15.25,15.25,11.524950981140137,24200
1999-04-15,14.875,15.59375,14.875,15.375,11.619415283203125,7000
1999-04-16,14.75,16.0,14.75,15.5,11.713878631591797,12200
1999-04-19,16.0,16.25,16.0,16.0,12.091745376586914,15800
1999-04-20,15.8125,16.125,15.75,16.125,12.186214447021484,1600
1999-04-21,16.75,17.375,16.0,17.125,12.941947937011719,41400
1999-04-22,17.375,18.625,17.375,17.8125,13.461509704589844,36600
1999-04-23,18.1875,18.4375,17.8125,18.0625,13.650446891784668,72600
