Date,Open,High,Low,Close,Adj Close,Volume
1987-07-24,0.0,3.9375,3.875,3.9375,1.8982577323913574,15566400
1987-07-27,0.0,3.9375,3.875,3.90625,1.8831924200057983,1931200
1987-07-28,0.0,3.90625,3.875,3.875,1.8681257963180542,2074800
1987-07-29,0.0,3.90625,3.875,3.875,1.8681257963180542,4930800
1987-07-30,0.0,3.90625,3.8125,3.8125,1.8379946947097778,4654400
1987-07-31,0.0,3.78125,3.5625,3.625,1.747602105140686,3006800
1987-08-03,0.0,3.84375,3.5,3.84375,1.8530604839324951,1277600
1987-08-04,0.0,3.90625,3.75,3.78125,1.82292902469635,698400
1987-08-05,0.0,3.8125,3.75,3.78125,1.82292902469635,262000
1987-08-06,0.0,3.78125,3.71875,3.75,1.807864785194397,480400
1987-08-07,0.0,3.84375,3.75,3.84375,1.8530604839324951,582400
1987-08-10,0.0,3.96875,3.8125,3.90625,1.8831924200057983,1524800
1987-08-11,0.0,3.9375,3.875,3.9375,1.8982577323913574,2395200
1987-08-12,0.0,3.9375,3.90625,3.9375,1.8982577323913574,1514400
1987-08-13,0.0,3.9375,3.84375,3.875,1.8681257963180542,516000
1987-08-14,0.0,3.9375,3.84375,3.875,1.8681257963180542,324000
1987-08-17,0.0,3.875,3.84375,3.875,1.8681257963180542,183600
1987-08-18,0.0,3.875,3.71875,3.71875,1.792798638343811,554400
1987-08-19,0.0,3.75,3.65625,3.75,1.807864785194397,304400
1987-08-20,0.0,3.8125,3.75,3.75,1.807864785194397,516000
1987-08-21,0.0,3.84375,3.71875,3.8125,1.8379946947097778,620400
1987-08-24,0.0,3.9375,3.84375,3.9375,1.8982577323913574,1596800
1987-08-25,0.0,4.15625,3.9375,4.125,1.9886503219604492,1371600
1987-08-26,0.0,4.375,4.1875,4.3125,2.079044818878174,1897200
1987-08-27,0.0,4.3125,4.1875,4.21875,2.0338473320007324,604800
1987-08-28,0.0,4.25,4.1875,4.25,2.0489115715026855,171200
1987-08-31,0.0,4.21875,4.15625,4.21875,2.0338473320007324,192000
1987-09-01,0.0,4.28125,4.1875,4.1875,2.018782615661621,1219600
1987-09-02,0.0,4.21875,3.96875,4.0,1.9283881187438965,1449600
1987-09-03,0.0,4.09375,3.9375,4.0,1.9283881187438965,252400
1987-09-04,0.0,4.0,3.90625,3.96875,1.913322925567627,225600
1987-09-08,0.0,3.96875,3.78125,3.875,1.8681257963180542,536000
1987-09-09,0.0,3.875,3.8125,3.84375,1.8530604839324951,376800
1987-09-10,0.0,3.875,3.78125,3.84375,1.8530604839324951,803600
1987-09-11,0.0,3.96875,3.84375,3.9375,1.8982577323913574,519600
1987-09-14,0.0,4.0,3.90625,3.96875,1.913322925567627,206400
1987-09-15,0.0,4.0,3.9375,3.96875,1.913322925567627,78000
1987-09-16,0.0,4.0,3.9375,4.0,1.9283881187438965,390400
1987-09-17,0.0,3.96875,3.9375,3.9375,1.8982577323913574,134400
1987-09-18,0.0,3.96875,3.90625,3.90625,1.8831924200057983,95600
1987-09-21,0.0,3.96875,3.9375,3.96875,1.913322925567627,485600
1987-09-22,0.0,4.0,3.90625,3.96875,1.913322925567627,520800
1987-09-23,0.0,4.0,3.9375,3.96875,1.913322925567627,25200
1987-09-24,0.0,3.96875,3.9375,3.9375,1.8982577323913574,46400
1987-09-25,0.0,3.96875,3.9375,3.96875,1.913322925567627,161600
1987-09-28,0.0,4.0625,3.96875,4.03125,1.9434541463851929,600000
1987-09-29,0.0,4.03125,3.96875,3.96875,1.913322925567627,178400
1987-09-30,0.0,4.0,3.9375,4.0,1.9283881187438965,235200
1987-10-01,0.0,4.0,3.96875,3.96875,1.913322925567627,192000
1987-10-02,0.0,4.0,3.96875,4.0,1.9283881187438965,655600
1987-10-05,0.0,4.03125,3.9375,4.0,1.9283881187438965,408000
1987-10-06,0.0,4.03125,3.90625,3.90625,1.8831924200057983,310400
1987-10-07,0.0,3.9375,3.71875,3.84375,1.8530604839324951,150400
1987-10-08,0.0,3.84375,3.71875,3.75,1.807864785194397,486000
1987-10-09,0.0,3.75,3.5625,3.5625,1.7174699306488037,240400
1987-10-12,0.0,3.5625,3.25,3.34375,1.6120117902755737,558800
1987-10-13,0.0,3.46875,3.34375,3.46875,1.672274112701416,371200
1987-10-14,0.0,3.46875,3.25,3.3125,1.5969457626342773,755600
1987-10-15,0.0,3.28125,3.15625,3.15625,1.5216186046600342,269600
1987-10-16,0.0,3.21875,2.9375,3.03125,1.4613572359085083,620400
1987-10-19,0.0,2.6875,2.25,2.28125,1.0997836589813232,1634400
1987-10-20,0.0,2.625,2.03125,2.625,1.2655047178268433,1648800
1987-10-21,0.0,2.8125,2.625,2.71875,1.3107012510299683,1183200
1987-10-22,0.0,2.46875,2.25,2.34375,1.1299147605895996,652400
1987-10-23,0.0,2.375,2.25,2.34375,1.1299147605895996,3120400
1987-10-26,0.0,2.25,2.125,2.15625,1.039522409439087,744800
1987-10-27,0.0,2.375,2.125,2.21875,1.0696531534194946,875200
1987-10-28,0.0,2.21875,2.125,2.1875,1.05458664894104,768000
1987-10-29,0.0,2.1875,2.125,2.15625,1.039522409439087,126000
1987-10-30,0.0,2.5625,2.21875,2.5625,1.235373616218567,2579200
1987-11-02,0.0,2.6875,2.40625,2.625,1.2655047178268433,653600
