Date,Open,High,Low,Close,Adj Close,Volume
1998-05-12,37.5,38.5,35.5,38.375,16.61851692199707,2344400
1998-05-13,38.75,41.25,38.0,41.0,17.75528335571289,658900
1998-05-14,41.25,41.25,40.0,40.25,17.430492401123047,306250
1998-05-15,40.25,40.625,40.0,40.25,17.430492401123047,130750
1998-05-18,40.25,40.5,38.25,38.25,16.56437873840332,416550
1998-05-19,38.625,39.75,38.5,39.0,16.889171600341797,118050
1998-05-20,39.0,39.25,38.25,38.375,16.61851692199707,149200
1998-05-21,39.25,39.25,37.5,38.5,16.67264175415039,74800
1998-05-22,38.75,38.75,37.5,38.0,16.456119537353516,31550
1998-05-26,38.25,38.25,37.75,38.25,16.56437873840332,152900
1998-05-27,37.75,38.25,37.0,37.75,16.347850799560547,89800
1998-05-28,37.0,37.75,37.0,37.25,16.131322860717773,75900
1998-05-29,37.5,38.0,37.0,37.0,16.02305793762207,35250
1998-06-01,37.0,37.75,36.5,36.75,15.914796829223633,141700
1998-06-02,36.5,37.0,35.125,35.125,15.211077690124512,80250
1998-06-03,35.125,35.375,31.25,31.25,13.532988548278809,162350
1998-06-04,31.25,32.5,31.25,32.0,13.857780456542969,58500
1998-06-05,32.0,34.75,32.0,33.75,14.615630149841309,80300
1998-06-08,34.5,34.75,34.0,34.25,14.832160949707031,4850
1998-06-09,34.75,34.75,33.75,34.5,14.940423011779785,19800
1998-06-10,34.75,35.25,34.0,34.0,14.723892211914062,214600
1998-06-11,34.0,34.25,32.5,32.5,14.074309349060059,84700
1998-06-12,32.5,33.5,32.5,32.75,14.182573318481445,22650
1998-06-15,33.0,33.0,32.0,33.0,14.290837287902832,13750
1998-06-16,33.25,33.25,31.625,31.625,13.695384979248047,12750
1998-06-17,31.625,32.375,30.5,30.5,13.20820140838623,17150
1998-06-18,17.5,19.5,17.0,19.0,8.228059768676758,1430300
1998-06-19,19.75,20.25,19.5,19.75,8.552849769592285,789150
1998-06-22,19.75,19.75,19.375,19.5,8.444585800170898,80950
1998-06-23,19.625,19.875,18.5,19.625,8.498717308044434,198350
1998-06-24,19.625,22.0,19.625,21.375,9.256563186645508,87200
1998-06-25,21.375,23.0,21.25,21.375,9.256563186645508,67700
1998-06-26,21.75,22.75,21.75,22.25,9.635489463806152,19900
1998-06-29,21.875,22.375,21.75,22.0,9.527225494384766,10700
1998-06-30,21.75,22.5,21.75,22.125,9.5813570022583,15350
1998-07-01,22.5,23.25,22.25,23.0,9.960280418395996,66850
1998-07-02,23.375,24.0,22.75,23.75,10.285074234008789,66250
1998-07-06,24.0,24.0,22.75,23.125,10.014410972595215,23750
1998-07-07,23.125,24.0,22.75,23.5,10.17680835723877,42150
1998-07-08,23.0,23.375,22.5,22.5,9.743753433227539,40150
1998-07-09,23.0,23.0,22.25,22.25,9.635489463806152,74300
1998-07-10,22.25,23.0,22.25,23.0,9.960280418395996,2700
1998-07-13,23.0,23.0,21.5,21.75,9.418961524963379,63500
1998-07-14,21.5,22.5,21.25,22.0,9.527225494384766,85200
1998-07-15,21.75,23.0,21.5,22.0,9.527225494384766,76850
1998-07-16,22.0,22.75,21.75,22.0,9.527225494384766,44600
1998-07-17,21.75,22.0,21.5,21.5,9.310696601867676,174350
1998-07-20,21.25,21.75,20.375,20.875,9.04003620147705,39950
1998-07-21,20.75,21.25,19.875,20.0,8.661117553710938,28050
1998-07-22,19.75,20.125,16.75,17.25,7.470211505889893,102800
1998-07-23,17.25,17.5,16.25,17.25,7.470211505889893,73100
1998-07-24,15.0,15.25,11.0,11.375,4.926008701324463,2091100
1998-07-27,11.75,12.0,11.375,11.875,5.1425371170043945,82850
1998-07-28,11.875,12.0,11.375,11.625,5.034274101257324,141700
1998-07-29,11.75,11.75,11.0,11.25,4.8718767166137695,28650
1998-07-30,11.25,11.375,11.0,11.125,4.817744731903076,9050
1998-07-31,11.5,11.5,10.125,10.75,4.655348300933838,24200
1998-08-03,11.0,11.0,9.0,10.0,4.330558776855469,118100
1998-08-04,9.75,10.0,9.5,9.75,4.222292900085449,151050
1998-08-05,10.0,10.5,10.0,10.5,4.547083854675293,39750
1998-08-06,10.25,10.5,10.25,10.5,4.547083854675293,118500
1998-08-07,10.75,10.75,10.0,10.25,4.438820838928223,40900
1998-08-10,10.25,10.75,10.0,10.625,4.6012163162231445,110300
1998-08-11,10.5,11.25,10.5,11.125,4.817744731903076,26850
1998-08-12,11.5,11.6875,11.25,11.375,4.926008701324463,13350
1998-08-13,11.25,11.5,10.875,10.875,4.7094807624816895,12300
1998-08-14,10.75,11.25,10.25,10.5,4.547083854675293,31400
1998-08-17,10.625,10.625,10.25,10.375,4.492952823638916,5850
1998-08-18,10.375,10.5,10.375,10.5,4.547083854675293,1950
1998-08-19,10.75,11.0,10.25,11.0,4.763612747192383,41000
1998-08-20,11.0,11.0,10.5,11.0,4.763612747192383,2500
1998-08-21,10.875,10.875,9.5,10.0,4.330558776855469,15850
1998-08-24,10.0,10.125,9.375,9.375,4.059897422790527,67400
1998-08-25,9.375,10.5,9.25,9.375,4.059897422790527,5700
1998-08-26,9.0,9.25,8.75,9.125,3.951634168624878,11050
1998-08-27,9.0,9.0,8.0,8.125,3.5185773372650146,9100
1998-08-28,8.75,8.75,6.25,7.125,3.0855214595794678,139650
1998-08-31,7.5,7.5,6.0,6.375,2.7607297897338867,81650
1998-09-01,6.0,7.0,5.25,6.5,2.8148624897003174,41450
1998-09-02,7.125,7.75,7.0,7.125,3.0855214595794678,14100
1998-09-03,7.0,7.25,6.5,6.875,2.977257251739502,6650
1998-09-04,7.125,7.5,6.75,6.875,2.977257251739502,10850
1998-09-08,6.875,8.0,6.875,7.625,3.3020503520965576,22450
1998-09-09,7.75,8.0,7.5,7.75,3.356182336807251,2100
1998-09-10,7.25,7.375,6.75,6.875,2.977257251739502,7800
1998-09-11,6.875,7.25,6.875,7.25,3.1396541595458984,7200
1998-09-14,7.25,7.25,7.25,7.25,3.1396541595458984,150
1998-09-15,7.0,7.0,6.375,6.375,2.7607297897338867,6700
1998-09-16,6.75,6.75,6.25,6.375,2.7607297897338867,19900
1998-09-17,6.5,6.5,6.0,6.125,2.652465581893921,3000
1998-09-18,6.125,6.125,6.125,6.125,2.652465581893921,3300
1998-09-21,6.0,6.25,6.0,6.0,2.598334789276123,16050
1998-09-22,6.0,6.0,5.75,6.0,2.598334789276123,21950
1998-09-23,5.75,6.5,5.75,6.25,2.7065978050231934,19050
1998-09-24,6.5,6.5,5.875,6.0,2.598334789276123,7300
1998-09-25,6.0,6.125,5.25,5.5,2.3818063735961914,9500
1998-09-28,5.75,5.75,4.75,5.25,2.2735419273376465,48250
1998-09-29,5.375,5.625,5.375,5.5,2.3818063735961914,13200
1998-09-30,5.5,5.625,5.25,5.625,2.4359383583068848,26550
1998-10-01,5.5,6.0,5.5,5.75,2.490070104598999,89400
1998-10-02,6.0,6.0,5.625,5.75,2.490070104598999,4350
1998-10-05,5.625,5.75,5.0,5.0,2.1652793884277344,86850
1998-10-06,5.5,5.625,4.875,5.0,2.1652793884277344,38600
1998-10-07,5.0,5.0,4.375,4.5,1.9487507343292236,7350
1998-10-08,4.0,4.375,4.0,4.0,1.732222557067871,18300
1998-10-09,4.0,4.25,4.0,4.125,1.786354660987854,17850
1998-10-12,4.5,4.5,4.125,4.125,1.786354660987854,28000
1998-10-13,4.3125,4.375,3.75,4.0,1.732222557067871,180650
1998-10-14,4.0,4.0,4.0,4.0,1.732222557067871,2800
1998-10-15,4.125,4.125,4.0,4.0,1.732222557067871,205700
1998-10-16,4.0625,4.125,4.0,4.0,1.732222557067871,31400
1998-10-19,4.0625,4.125,3.5625,4.0,1.732222557067871,20550
1998-10-20,4.0,4.25,4.0,4.0,1.732222557067871,40200
1998-10-21,4.125,4.125,3.75,4.0,1.732222557067871,28600
1998-10-22,4.0,4.0,3.75,3.875,1.6780911684036255,37300
1998-10-23,3.75,3.75,3.625,3.75,1.6239584684371948,17850
1998-10-26,3.625,3.75,3.5,3.5,1.5156946182250977,32450
1998-10-27,3.625,4.0,3.5,3.5,1.5156946182250977,47800
1998-10-28,3.75,3.75,3.375,3.5,1.5156946182250977,38450
1998-10-29,3.375,3.75,3.0,3.125,1.3532989025115967,69900
1998-10-30,3.5,3.5,3.0,3.375,1.461563229560852,68350
1998-11-02,3.625,4.25,3.625,4.125,1.786354660987854,87500
1998-11-03,4.25,6.75,4.0,6.125,2.652465581893921,157400
1998-11-04,6.9375,7.25,5.875,6.125,2.652465581893921,65450
1998-11-05,5.875,6.0,5.0,5.0,2.1652793884277344,59150
1998-11-06,5.0,5.125,4.0625,4.625,2.002882242202759,42550
1998-11-09,4.375,4.875,4.375,4.375,1.8946187496185303,9150
1998-11-10,4.375,4.875,4.375,4.375,1.8946187496185303,23250
1998-11-11,4.375,4.625,4.25,4.5,1.9487507343292236,5100
1998-11-12,4.0,4.625,4.0,4.5,1.9487507343292236,10200
1998-11-13,4.625,4.9375,4.4375,4.75,2.0570149421691895,17000
1998-11-16,5.0,5.0,4.8125,5.0,2.1652793884277344,7650
1998-11-17,5.1875,5.1875,4.875,5.0,2.1652793884277344,20400
1998-11-18,5.0,5.0,4.625,4.8125,2.084080219268799,7800
1998-11-19,5.0,6.25,4.875,5.875,2.5442020893096924,28900
1998-11-20,5.875,6.0,5.5,5.8125,2.517137050628662,55900
1998-11-23,5.625,5.875,5.375,5.375,2.327674150466919,18550
1998-11-24,5.875,5.875,5.125,5.5,2.3818063735961914,31200
1998-11-25,5.375,5.5,5.25,5.5,2.3818063735961914,13550
1998-11-27,5.5,5.5,5.1875,5.1875,2.246476411819458,15200
1998-11-30,5.1875,5.875,5.0,5.375,2.327674150466919,41800
1998-12-01,5.875,5.875,5.0,5.0625,2.1923444271087646,34850
