Date,Open,High,Low,Close,Adj Close,Volume
1996-11-27,20.625,20.875,20.625,20.75,2.5396463871002197,423600
1996-11-29,20.75,20.875,20.75,20.875,2.554945468902588,40700
1996-12-02,20.875,20.875,20.75,20.875,2.554945468902588,67700
1996-12-03,20.875,21.125,20.75,21.125,2.5855443477630615,69500
1996-12-04,21.125,21.125,20.75,20.875,2.554945468902588,151100
1996-12-05,20.875,21.0,20.75,20.75,2.5396463871002197,66900
1996-12-06,20.75,20.75,20.625,20.75,2.5396463871002197,123200
1996-12-09,20.625,20.875,20.625,20.875,2.554945468902588,61400
1996-12-10,20.875,20.875,20.75,20.75,2.5396463871002197,78200
1996-12-11,20.75,20.75,20.625,20.75,2.5396463871002197,57100
1996-12-12,20.625,20.75,20.625,20.625,2.5243470668792725,128500
1996-12-13,20.625,20.75,20.625,20.625,2.5243470668792725,96700
1996-12-16,20.75,20.75,20.625,20.75,2.5396463871002197,64600
1996-12-17,20.625,20.75,20.625,20.75,2.5396463871002197,77800
1996-12-18,20.75,20.75,20.625,20.75,2.5396463871002197,45200
1996-12-19,20.75,20.75,20.625,20.625,2.5243470668792725,40700
1996-12-20,20.75,20.75,20.625,20.625,2.5243470668792725,38400
1996-12-23,20.75,20.875,20.625,20.75,2.5396463871002197,66100
1996-12-24,20.75,20.75,20.625,20.625,2.5243470668792725,29300
1996-12-26,20.625,20.75,20.625,20.625,2.5243470668792725,31200
1996-12-27,20.625,20.75,20.625,20.625,2.5243470668792725,15400
1996-12-30,20.625,20.75,20.625,20.75,2.5396463871002197,63200
1996-12-31,20.75,20.75,20.25,20.5,2.509047746658325,46900
1997-01-02,20.5,20.625,20.375,20.375,2.493748903274536,21800
1997-01-03,20.5,20.625,20.5,20.625,2.5243470668792725,20400
1997-01-06,20.75,20.75,20.5,20.625,2.5243470668792725,61000
1997-01-07,20.625,20.625,20.5,20.5,2.509047746658325,38800
1997-01-08,20.625,20.625,20.5,20.5,2.509047746658325,76000
1997-01-09,20.625,20.75,20.5,20.75,2.5396463871002197,77500
1997-01-10,20.625,20.75,20.5,20.625,2.5243470668792725,57700
1997-01-13,20.625,20.75,20.5,20.625,2.5243470668792725,74000
1997-01-14,20.625,20.75,20.625,20.625,2.5243470668792725,92900
1997-01-15,20.625,20.75,20.625,20.625,2.5243470668792725,66800
1997-01-16,20.75,20.875,20.625,20.875,2.554945468902588,114800
1997-01-17,20.875,21.375,20.875,21.25,2.6008434295654297,133000
1997-01-20,21.25,21.25,20.75,21.125,2.5855443477630615,91900
1997-01-21,21.0,21.25,20.875,21.25,2.6008434295654297,111300
1997-01-22,21.25,21.25,20.75,20.875,2.554945468902588,77700
1997-01-23,21.0,21.125,20.875,20.875,2.554945468902588,66200
