Date,Open,High,Low,Close,Adj Close,Volume
1992-09-21,15.0,15.0,15.0,15.0,2.4382565021514893,135900
1992-09-22,15.0,15.0,15.0,15.0,2.4382565021514893,47400
1992-09-23,15.0,15.0,15.0,15.0,2.4382565021514893,22100
1992-09-24,15.0,15.0,15.0,15.0,2.4382565021514893,20300
1992-09-25,15.0,15.0,15.0,15.0,2.4382565021514893,3300
1992-09-28,15.0,15.0,15.0,15.0,2.4382565021514893,14000
1992-09-29,15.0,15.0,15.0,15.0,2.4382565021514893,17100
1992-09-30,15.0,15.0,15.0,15.0,2.4382565021514893,3600
1992-10-01,15.0,15.0,15.0,15.0,2.4382565021514893,1800
1992-10-02,15.0,15.0,15.0,15.0,2.4382565021514893,6500
1992-10-05,15.0,15.0,15.0,15.0,2.4382565021514893,15800
1992-10-06,15.0,15.0,15.0,15.0,2.4382565021514893,10000
1992-10-07,15.0,15.0,15.0,15.0,2.4382565021514893,12000
1992-10-08,15.0,15.0,15.0,15.0,2.4382565021514893,48300
1992-10-09,15.0,15.0,15.0,15.0,2.4382565021514893,17200
1992-10-12,15.0,15.0,15.0,15.0,2.4382565021514893,17700
1992-10-13,15.0,15.0,15.0,15.0,2.4382565021514893,14800
1992-10-14,15.0,15.0,15.0,15.0,2.4382565021514893,25400
1992-10-15,15.0,15.0,15.0,15.0,2.4382565021514893,1100
1992-10-16,15.0,15.0,15.0,15.0,2.4382565021514893,37700
1992-10-19,15.0,15.0,15.0,15.0,2.4382565021514893,19200
1992-10-20,15.0,15.0,15.0,15.0,2.4382565021514893,27500
1992-10-21,15.0,15.0,14.875,14.875,2.417937994003296,173200
1992-10-22,14.875,15.0,14.875,14.875,2.417937994003296,6700
1992-10-23,14.875,14.875,14.875,14.875,2.417937994003296,29200
1992-10-26,14.875,15.0,14.875,14.875,2.417937994003296,10100
1992-10-27,14.875,14.875,14.875,14.875,2.417937994003296,18900
1992-10-28,14.75,14.75,14.75,14.75,2.3976187705993652,16600
1992-10-29,14.75,14.75,14.375,14.375,2.336663246154785,9700
1992-10-30,14.25,14.25,14.25,14.25,2.3163399696350098,400
1992-11-02,14.125,14.125,13.75,14.0,2.275705575942993,10400
1992-11-03,13.875,14.25,13.875,14.0,2.275705575942993,3200
1992-11-04,14.0,14.0,13.875,14.0,2.275705575942993,4300
1992-11-05,13.875,14.0,13.75,14.0,2.275705575942993,5100
1992-11-06,14.0,14.0,13.875,14.0,2.275705575942993,3900
1992-11-09,13.75,13.75,13.25,13.5,2.217877149581909,22700
1992-11-10,13.25,13.875,13.25,13.875,2.2794864177703857,17300
1992-11-11,13.75,13.875,13.75,13.75,2.25894832611084,7400
1992-11-12,14.0,14.0,13.5,13.625,2.2384138107299805,12300
1992-11-13,13.875,14.125,13.875,14.125,2.320556163787842,12800
1992-11-16,14.25,14.25,13.75,14.0,2.3000197410583496,10200
1992-11-17,13.875,14.0,13.75,14.0,2.3000197410583496,9800
1992-11-18,14.0,14.125,13.75,13.75,2.25894832611084,18100
1992-11-19,13.875,14.125,13.875,14.0,2.3000197410583496,24200
1992-11-20,14.0,14.125,13.875,13.875,2.2794864177703857,2700
1992-11-23,14.0,14.0,13.625,13.625,2.2384138107299805,45300
1992-11-24,13.5,13.75,13.5,13.625,2.2384138107299805,15300
1992-11-25,13.75,13.75,13.5,13.625,2.2384138107299805,19600
1992-11-27,13.625,13.625,13.625,13.625,2.2384138107299805,15400
1992-11-30,13.625,14.0,13.375,14.0,2.3000197410583496,64500
1992-12-01,14.0,14.375,14.0,14.375,2.361628293991089,21500
1992-12-02,14.25,14.375,14.125,14.125,2.320556163787842,5800
1992-12-03,14.125,14.25,13.75,14.125,2.320556163787842,56100
1992-12-04,14.25,14.25,13.75,14.125,2.320556163787842,43700
1992-12-07,14.25,14.25,14.0,14.25,2.3410897254943848,20800
1992-12-08,14.375,14.5,14.25,14.375,2.361628293991089,13700
1992-12-09,14.5,14.625,14.375,14.625,2.4027020931243896,18000
1992-12-10,14.5,14.75,14.5,14.5,2.3821635246276855,12500
1992-12-11,14.5,14.625,14.375,14.5,2.3821635246276855,19400
1992-12-14,14.375,14.75,14.375,14.625,2.41753888130188,43400
1992-12-15,14.5,14.75,14.125,14.125,2.3348870277404785,33600
1992-12-16,14.125,14.5,14.125,14.25,2.355548620223999,10900
