Date,Open,High,Low,Close,Adj Close,Volume
1984-10-09,0.0,10.125,9.75,9.75,1.0073988437652588,287600
1984-10-10,0.0,10.0,9.75,9.75,1.0073988437652588,38800
1984-10-11,9.75,9.75,9.75,9.75,1.0073988437652588,0
1984-10-12,0.0,10.0,9.75,9.75,1.0073988437652588,20800
1984-10-15,0.0,10.0,9.75,9.75,1.0073988437652588,12400
1984-10-16,0.0,10.125,9.875,9.875,1.0203150510787964,9200
1984-10-17,0.0,10.25,10.0,10.0,1.0332303047180176,20700
1984-10-18,0.0,10.25,10.0,10.0,1.0332303047180176,11500
1984-10-19,0.0,10.5,10.125,10.125,1.0461456775665283,14000
1984-10-22,0.0,10.25,10.0,10.0,1.0332303047180176,7000
1984-10-23,0.0,10.25,10.0,10.0,1.0332303047180176,17100
1984-10-24,0.0,10.25,10.0,10.0,1.0332303047180176,5500
1984-10-25,0.0,10.25,10.0,10.0,1.0332303047180176,5000
1984-10-26,0.0,10.25,10.0,10.0,1.0332303047180176,3600
1984-10-29,0.0,10.25,9.75,9.75,1.0073988437652588,4500
1984-10-30,0.0,10.25,9.75,9.75,1.0073988437652588,3900
1984-10-31,0.0,10.25,10.0,10.0,1.0332303047180176,3300
1984-11-01,0.0,10.25,10.0,10.0,1.0332303047180176,2800
1984-11-02,0.0,11.25,10.5,10.5,1.0848913192749023,15400
1984-11-05,0.0,10.75,10.25,10.25,1.0590612888336182,9100
1984-11-06,0.0,10.75,10.25,10.25,1.0590612888336182,14500
1984-11-07,0.0,10.75,10.25,10.25,1.0590612888336182,8900
1984-11-08,0.0,10.75,10.25,10.25,1.0590612888336182,9500
1984-11-09,0.0,10.75,10.25,10.25,1.0590612888336182,4600
1984-11-12,0.0,10.75,10.25,10.25,1.0590612888336182,7900
1984-11-13,0.0,10.75,10.25,10.25,1.0590612888336182,5200
1984-11-14,0.0,10.75,10.25,10.25,1.0590612888336182,5000
1984-11-15,0.0,10.75,10.25,10.25,1.0590612888336182,2700
1984-11-16,0.0,10.75,10.25,10.25,1.0590612888336182,1000
1984-11-19,0.0,10.5,10.0,10.0,1.0332303047180176,2400
1984-11-20,0.0,10.5,10.0,10.0,1.0332303047180176,5800
1984-11-21,0.0,10.5,10.25,10.25,1.0590612888336182,1600
1984-11-23,0.0,10.75,10.5,10.5,1.0848913192749023,7200
1984-11-26,0.0,10.5,10.25,10.25,1.0590612888336182,5400
1984-11-27,0.0,10.75,10.25,10.25,1.0590612888336182,5600
1984-11-28,0.0,10.75,10.25,10.25,1.0590612888336182,1900
1984-11-29,0.0,10.75,10.25,10.25,1.0590612888336182,1000
1984-11-30,0.0,10.75,10.25,10.25,1.0590612888336182,1000
1984-12-03,0.0,10.5,10.25,10.25,1.0590612888336182,2800
1984-12-04,0.0,10.5,10.25,10.25,1.0590612888336182,2800
1984-12-05,0.0,10.75,10.25,10.25,1.0590612888336182,5700
1984-12-06,0.0,10.75,10.25,10.25,1.0590612888336182,4200
1984-12-07,0.0,11.0,10.25,10.25,1.0590612888336182,3800
1984-12-10,0.0,10.625,10.25,10.25,1.0590612888336182,6900
1984-12-11,0.0,10.625,10.25,10.25,1.0590612888336182,1100
1984-12-12,0.0,10.625,10.25,10.25,1.0590612888336182,7100
1984-12-13,0.0,10.5,10.25,10.25,1.0590612888336182,4100
1984-12-14,0.0,10.5,10.25,10.25,1.0590612888336182,2100
1984-12-17,0.0,10.5,10.25,10.25,1.0590612888336182,4500
1984-12-18,0.0,10.5,10.25,10.25,1.0590612888336182,1100
1984-12-19,0.0,10.75,10.25,10.75,1.1107227802276611,700
1984-12-20,0.0,10.75,10.375,10.75,1.1107227802276611,500
1984-12-21,0.0,10.5,10.375,10.375,1.0719763040542603,1400
1984-12-24,0.0,10.75,10.75,10.75,1.1107227802276611,300
1984-12-26,0.0,10.75,10.375,10.375,1.0719763040542603,400
1984-12-27,0.0,10.75,10.375,10.75,1.1107227802276611,700
1984-12-28,0.0,10.75,10.375,10.75,1.1107227802276611,3700
1984-12-31,0.0,10.75,10.75,10.75,1.1107227802276611,200
1985-01-02,0.0,10.75,10.5,10.5,1.0848913192749023,2500
1985-01-03,0.0,10.75,10.5,10.75,1.1107227802276611,1800
1985-01-04,0.0,10.75,10.5,10.5,1.0848913192749023,1500
1985-01-07,0.0,10.75,10.375,10.75,1.1107227802276611,1200
1985-01-08,0.0,11.0,10.5,11.0,1.136553406715393,4400
1985-01-09,0.0,11.0,10.75,10.75,1.1107227802276611,2400
1985-01-10,0.0,11.25,10.75,10.75,1.1107227802276611,8000
1985-01-11,0.0,11.25,11.0,11.0,1.136553406715393,7300
1985-01-14,0.0,11.25,10.75,11.25,1.1623845100402832,1000
1985-01-15,0.0,11.25,10.75,11.25,1.1623845100402832,1100
1985-01-16,0.0,11.25,11.0,11.25,1.1623845100402832,4900
1985-01-17,0.0,11.25,10.75,11.25,1.1623845100402832,6200
1985-01-18,11.25,11.25,11.25,11.25,1.1623845100402832,0
1985-01-21,0.0,11.5,10.875,11.0,1.136553406715393,700
1985-01-22,0.0,11.5,11.0,11.25,1.1623845100402832,7700
1985-01-23,0.0,11.25,11.0,11.25,1.1623845100402832,10000
1985-01-24,0.0,11.25,11.0,11.25,1.1623845100402832,11400
1985-01-25,0.0,11.5,11.0,11.25,1.1623845100402832,6100
1985-01-28,0.0,11.5,11.0,11.5,1.1882156133651733,17300
1985-01-29,0.0,11.5,11.25,11.5,1.1882156133651733,5900
1985-01-30,0.0,11.75,11.25,11.5,1.1882156133651733,4200
1985-01-31,0.0,11.75,11.25,11.75,1.214045763015747,5500
1985-02-01,0.0,11.75,11.5,11.5,1.1882156133651733,6300
1985-02-04,0.0,11.75,11.5,11.75,1.214045763015747,20900
1985-02-05,0.0,11.75,11.5,11.75,1.214045763015747,4200
1985-02-06,0.0,11.75,11.5,11.75,1.214045763015747,5200
1985-02-07,0.0,11.75,11.5,11.75,1.214045763015747,2600
1985-02-08,0.0,11.75,11.25,11.5,1.1882156133651733,1700
1985-02-11,0.0,11.75,11.5,11.5,1.1882156133651733,8200
1985-02-12,0.0,12.0,11.5,12.0,1.2398767471313477,9700
1985-02-13,0.0,12.0,11.5,12.0,1.2398767471313477,5100
1985-02-14,0.0,12.0,11.5,11.5,1.1882156133651733,5100
1985-02-15,0.0,11.75,11.5,11.625,1.2011295557022095,5300
