Date,Open,High,Low,Close,Adj Close,Volume
1987-10-07,9.5,9.75,9.5,9.5,1.5646575689315796,2220100
1987-10-08,9.375,9.5,9.0,9.0,1.489675521850586,142100
1987-10-09,9.125,9.25,9.125,9.25,1.531057357788086,85700
1987-10-12,9.125,9.5,9.125,9.375,1.55174720287323,61100
1987-10-13,9.5,9.5,9.25,9.375,1.55174720287323,48400
1987-10-14,9.375,9.375,9.25,9.25,1.531057357788086,65600
1987-10-15,9.25,9.375,9.125,9.125,1.5103667974472046,93000
1987-10-16,9.125,9.375,9.125,9.25,1.531057357788086,31900
1987-10-19,9.25,9.25,8.375,8.625,1.4276069402694702,57400
1987-10-20,8.625,9.25,8.625,8.75,1.448297142982483,37200
1987-10-21,8.625,8.875,8.5,8.625,1.4276069402694702,57600
1987-10-22,8.75,8.75,8.375,8.5,1.4069161415100098,83000
1987-10-23,8.875,9.0,8.75,8.875,1.4689866304397583,42200
1987-10-26,8.75,9.0,8.625,8.75,1.448297142982483,23100
1987-10-27,8.75,9.0,8.625,8.75,1.448297142982483,22000
1987-10-28,8.75,8.875,8.625,8.625,1.4276069402694702,30600
1987-10-29,8.625,8.875,8.625,8.625,1.4276069402694702,20900
1987-10-30,9.125,9.125,8.5,8.5,1.4069161415100098,62900
1987-11-02,8.5,9.125,8.5,8.75,1.448297142982483,40800
1987-11-03,9.0,9.0,8.625,8.875,1.4689866304397583,31200
1987-11-04,9.0,9.125,8.875,9.0,1.489675521850586,36300
1987-11-05,9.125,9.125,8.875,9.125,1.5103667974472046,50300
1987-11-06,9.0,9.25,9.0,9.0,1.4980480670928955,35800
1987-11-09,9.125,9.25,9.0,9.125,1.5188558101654053,14600
1987-11-10,9.125,9.5,9.125,9.375,1.560468316078186,27800
1987-11-11,9.25,9.375,9.25,9.375,1.560468316078186,15200
1987-11-12,9.375,9.375,9.25,9.25,1.5396616458892822,15200
1987-11-13,9.375,9.375,9.125,9.125,1.5188558101654053,19500
1987-11-16,9.25,9.375,9.125,9.25,1.5396616458892822,11500
1987-11-17,9.375,9.5,9.25,9.25,1.5396616458892822,35800
1987-11-18,9.375,9.5,9.375,9.5,1.5812749862670898,23500
1987-11-19,9.5,9.5,9.375,9.5,1.5812749862670898,17600
1987-11-20,9.5,9.5,9.375,9.5,1.5812749862670898,14400
1987-11-23,9.625,9.75,9.5,9.75,1.622886300086975,34100
1987-11-24,9.75,9.75,9.625,9.75,1.622886300086975,23800
1987-11-25,9.875,9.875,9.75,9.875,1.6436924934387207,19100
1987-11-27,9.875,9.875,9.5,9.5,1.5812749862670898,15500
1987-11-30,9.625,9.625,9.375,9.375,1.560468316078186,14000
1987-12-01,9.625,9.625,9.375,9.5,1.5812749862670898,13600
1987-12-02,9.5,9.625,9.375,9.625,1.6020807027816772,25300
1987-12-03,9.5,9.625,9.375,9.625,1.6020807027816772,24300
1987-12-04,9.5,9.5,9.375,9.5,1.5812749862670898,22600
1987-12-07,9.5,9.5,9.5,9.5,1.5812749862670898,11000
1987-12-08,9.5,9.625,9.5,9.625,1.6020807027816772,22200
1987-12-09,9.5,9.625,9.5,9.625,1.6107832193374634,18400
1987-12-10,9.625,9.875,9.625,9.75,1.6317012310028076,13800
1987-12-11,9.75,9.875,9.75,9.75,1.6317012310028076,11500
1987-12-14,9.875,9.875,9.875,9.875,1.652620792388916,7900
1987-12-15,9.75,9.875,9.75,9.75,1.6317012310028076,6900
1987-12-16,9.75,9.875,9.75,9.75,1.6317012310028076,23700
1987-12-17,9.875,9.875,9.75,9.75,1.6317012310028076,8100
1987-12-18,9.75,9.875,9.75,9.75,1.6317012310028076,8500
1987-12-21,9.625,9.75,9.625,9.625,1.6107832193374634,15800
1987-12-22,9.75,9.75,9.625,9.75,1.6317012310028076,13100
1987-12-23,9.75,9.75,9.625,9.625,1.6107832193374634,13600
1987-12-24,9.75,9.875,9.75,9.875,1.652620792388916,6700
1987-12-28,9.875,9.875,9.625,9.875,1.652620792388916,17400
1987-12-29,9.875,9.875,9.75,9.75,1.6317012310028076,14300
1987-12-30,9.75,9.875,9.75,9.75,1.6317012310028076,16300
1987-12-31,9.875,9.875,9.875,9.875,1.652620792388916,10200
1988-01-04,9.875,10.0,9.75,10.0,1.673539400100708,20900
1988-01-05,10.0,10.0,9.875,10.0,1.673539400100708,25100
1988-01-06,10.0,10.0,10.0,10.0,1.673539400100708,14600
1988-01-07,9.875,10.0,9.875,10.0,1.673539400100708,40800
1988-01-08,9.875,10.0,9.875,9.875,1.652620792388916,6800
1988-01-11,9.875,10.0,9.875,10.0,1.6830857992172241,6600
1988-01-12,10.0,10.0,9.875,9.875,1.662047028541565,8200
1988-01-13,10.0,10.0,9.75,9.875,1.662047028541565,16800
1988-01-14,9.875,10.0,9.75,10.0,1.6830857992172241,17900
1988-01-15,10.0,10.0,9.875,10.0,1.6830857992172241,15500
1988-01-18,9.875,9.875,9.75,9.875,1.662047028541565,25200
1988-01-19,9.875,9.875,9.875,9.875,1.662047028541565,11000
1988-01-20,9.875,9.875,9.875,9.875,1.662047028541565,10700
1988-01-21,9.875,10.0,9.75,10.0,1.6830857992172241,26500
1988-01-22,9.875,10.0,9.875,10.0,1.6830857992172241,12900
1988-01-25,9.875,10.0,9.875,10.0,1.6830857992172241,9900
1988-01-26,10.0,10.0,9.875,10.0,1.6830857992172241,23400
1988-01-27,10.0,10.0,9.875,9.875,1.662047028541565,14500
1988-01-28,10.0,10.0,9.875,10.0,1.6830857992172241,13100
1988-01-29,9.875,10.0,9.875,9.875,1.662047028541565,14900
1988-02-01,10.0,10.0,9.875,10.0,1.6830857992172241,17400
1988-02-02,9.875,10.0,9.875,9.875,1.662047028541565,22000
