Date,Open,High,Low,Close,Adj Close,Volume
1991-12-31,9.625,10.0,9.625,9.625,1.5787819623947144,1000
1992-01-02,9.625,10.0,9.625,9.625,1.5787819623947144,12000
1992-01-03,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-06,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-07,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-08,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-09,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-10,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-13,9.625,10.0,9.625,9.625,1.5787819623947144,1000
1992-01-14,9.625,10.0,9.625,9.625,1.5787819623947144,8000
1992-01-15,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-16,9.625,10.0,9.625,9.625,1.5787819623947144,5000
1992-01-17,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-20,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-21,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-22,9.625,10.0,9.625,9.625,1.5787819623947144,500
1992-01-23,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-24,9.625,10.125,9.625,9.625,1.5787819623947144,21600
1992-01-27,9.625,10.125,9.625,9.625,1.5787819623947144,2800
1992-01-28,9.625,10.125,9.625,9.625,1.5787819623947144,1300
1992-01-29,9.625,10.125,9.625,9.625,1.5787819623947144,1200
1992-01-30,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-01-31,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-03,9.625,10.125,9.625,9.625,1.5787819623947144,500
1992-02-04,9.625,10.125,9.625,9.625,1.5787819623947144,1500
1992-02-05,9.625,10.125,9.625,9.625,1.5787819623947144,1000
1992-02-06,9.625,10.125,9.625,9.625,1.5787819623947144,100
1992-02-07,9.625,10.125,9.625,9.625,1.5787819623947144,400
1992-02-10,9.625,10.125,9.625,9.625,1.5787819623947144,3000
1992-02-11,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-12,9.625,10.125,9.625,9.625,1.5787819623947144,600
1992-02-13,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-14,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-18,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-19,9.625,10.125,9.625,9.625,1.5787819623947144,1900
1992-02-20,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-21,9.625,10.125,9.625,9.625,1.5787819623947144,1000
1992-02-24,9.625,9.625,9.625,9.625,1.5787819623947144,0
1992-02-25,9.625,9.625,9.625,9.625,1.5787819623947144,0
