Date,Open,High,Low,Close,Adj Close,Volume
1987-07-09,9.875,9.875,9.875,9.875,0.541060209274292,1940200
1987-07-10,9.875,9.875,9.875,9.875,0.541060209274292,350500
1987-07-13,9.875,9.875,9.875,9.875,0.541060209274292,210100
1987-07-14,9.875,9.875,9.875,9.875,0.541060209274292,106900
1987-07-15,9.875,9.875,9.875,9.875,0.541060209274292,64000
1987-07-16,9.875,10.0,9.875,9.875,0.541060209274292,75700
1987-07-17,9.875,9.875,9.875,9.875,0.541060209274292,64900
1987-07-20,9.875,9.875,9.75,9.875,0.541060209274292,114000
1987-07-21,9.875,9.875,9.75,9.875,0.541060209274292,46300
1987-07-22,9.75,9.875,9.75,9.75,0.5342109203338623,34700
1987-07-23,9.875,9.875,9.75,9.875,0.541060209274292,21300
1987-07-24,9.875,9.875,9.75,9.75,0.5342109203338623,19800
1987-07-27,9.75,9.75,9.75,9.75,0.5342109203338623,29600
1987-07-28,9.75,9.75,9.625,9.75,0.5342109203338623,48100
1987-07-29,9.625,9.75,9.625,9.625,0.5273622274398804,13500
1987-07-30,9.75,9.75,9.625,9.625,0.5273622274398804,7700
1987-07-31,9.625,9.75,9.625,9.625,0.5273622274398804,16100
1987-08-03,9.625,9.75,9.625,9.625,0.5273622274398804,28300
1987-08-04,9.75,9.875,9.625,9.75,0.5342109203338623,36800
1987-08-05,9.75,9.875,9.75,9.875,0.541060209274292,18700
1987-08-06,9.875,10.0,9.875,10.0,0.5479090213775635,33900
1987-08-07,10.0,10.125,9.875,10.0,0.5479090213775635,36200
1987-08-10,10.0,10.0,9.875,9.875,0.541060209274292,20000
1987-08-11,9.875,10.0,9.75,9.875,0.5449786186218262,28000
1987-08-12,9.875,9.875,9.75,9.875,0.5449786186218262,12400
1987-08-13,9.875,10.0,9.75,9.75,0.538079559803009,11900
1987-08-14,9.875,10.0,9.75,9.875,0.5449786186218262,19100
1987-08-17,10.0,10.0,9.75,9.75,0.538079559803009,30300
1987-08-18,9.75,9.875,9.625,9.875,0.5449786186218262,11000
1987-08-19,9.875,9.875,9.75,9.75,0.538079559803009,28800
1987-08-20,9.75,9.875,9.75,9.875,0.5449786186218262,12600
1987-08-21,9.875,9.875,9.625,9.75,0.538079559803009,14700
1987-08-24,9.875,9.875,9.5,9.625,0.5311813354492188,21500
1987-08-25,9.625,9.75,9.375,9.625,0.5311813354492188,14900
1987-08-26,9.75,9.75,9.5,9.75,0.538079559803009,8500
