Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,3.375,3.0,3.0,2.334149122238159,7600
1980-03-18,0.0,3.25,2.875,2.875,2.2368924617767334,1900
1980-03-19,0.0,3.25,2.875,2.875,2.2368924617767334,2900
1980-03-20,0.0,3.25,2.875,2.875,2.2368924617767334,1300
1980-03-21,0.0,3.25,2.875,2.875,2.2368924617767334,11900
1980-03-24,0.0,3.125,2.75,2.75,2.139636754989624,6500
1980-03-25,0.0,3.125,2.75,2.75,2.139636754989624,95200
1980-03-26,0.0,3.125,2.75,2.75,2.139636754989624,13900
1980-03-27,0.0,2.875,2.5,2.5,1.9451241493225098,8500
1980-03-28,0.0,2.875,2.5,2.5,1.9451241493225098,11100
1980-03-31,0.0,2.875,2.5,2.5,1.9451241493225098,27100
1980-04-01,0.0,2.875,2.5,2.5,1.9451241493225098,6700
1980-04-02,0.0,3.0,2.625,2.625,2.0423803329467773,5700
1980-04-03,0.0,3.0,2.625,2.625,2.0423803329467773,4400
1980-04-07,0.0,3.0,2.625,2.625,2.0423803329467773,4400
1980-04-08,0.0,2.625,2.25,2.25,1.7506117820739746,14500
1980-04-09,0.0,2.75,2.375,2.375,1.8478678464889526,7100
1980-04-10,0.0,2.75,2.375,2.375,1.8478678464889526,7800
1980-04-11,0.0,2.875,2.5,2.5,1.9451241493225098,4700
1980-04-14,0.0,2.75,2.375,2.375,1.8478678464889526,1400
1980-04-15,0.0,2.75,2.375,2.375,1.8478678464889526,1000
1980-04-16,0.0,2.75,2.375,2.375,1.8478678464889526,700
1980-04-17,0.0,2.625,2.25,2.25,1.7506117820739746,5200
1980-04-18,0.0,2.625,2.25,2.25,1.7506117820739746,700
1980-04-21,0.0,2.625,2.25,2.25,1.7506117820739746,1000
1980-04-22,0.0,2.625,2.25,2.25,1.7506117820739746,8700
1980-04-23,0.0,2.625,2.25,2.25,1.7506117820739746,5000
1980-04-24,0.0,2.625,2.25,2.25,1.7506117820739746,3300
1980-04-25,0.0,2.5,2.125,2.125,1.6533561944961548,14300
1980-04-28,0.0,2.5,2.125,2.125,1.6533561944961548,3000
1980-04-29,0.0,2.625,2.25,2.25,1.7506117820739746,2200
1980-04-30,0.0,2.625,2.25,2.25,1.7506117820739746,4900
1980-05-01,0.0,2.625,2.25,2.25,1.7506117820739746,5800
1980-05-02,0.0,2.625,2.25,2.25,1.7506117820739746,11200
1980-05-05,0.0,2.75,2.375,2.375,1.8478678464889526,500
1980-05-06,0.0,2.75,2.375,2.375,1.8478678464889526,4300
1980-05-07,0.0,2.75,2.375,2.375,1.8478678464889526,4900
1980-05-08,0.0,2.75,2.375,2.375,1.8478678464889526,2200
1980-05-09,0.0,2.75,2.375,2.375,1.8478678464889526,1200
1980-05-12,0.0,2.75,2.375,2.375,1.8478678464889526,600
1980-05-13,0.0,2.625,2.25,2.25,1.7506117820739746,5200
1980-05-14,0.0,2.625,2.25,2.25,1.7506117820739746,10200
1980-05-15,0.0,2.625,2.25,2.25,1.7506117820739746,7300
1980-05-16,0.0,2.75,2.375,2.375,1.8478678464889526,3000
1980-05-19,0.0,2.875,2.5,2.5,1.9451241493225098,6300
1980-05-20,0.0,2.875,2.5,2.5,1.9451241493225098,300
1980-05-21,0.0,2.75,2.375,2.375,1.8478678464889526,6500
1980-05-22,0.0,3.125,2.75,2.75,2.139636754989624,28800
1980-05-23,0.0,3.125,2.75,2.75,2.139636754989624,2800
1980-05-27,0.0,3.0,2.625,2.625,2.0423803329467773,3000
1980-05-28,0.0,3.0,2.625,2.625,2.0423803329467773,2500
1980-05-29,0.0,3.0,2.625,2.625,2.0423803329467773,1000
1980-05-30,0.0,3.0,2.625,2.625,2.0423803329467773,3200
1980-06-02,0.0,3.0,2.625,2.625,2.0423803329467773,5200
1980-06-03,0.0,3.0,2.625,2.625,2.0423803329467773,4000
1980-06-04,0.0,2.875,2.5,2.5,1.9451241493225098,11300
1980-06-05,0.0,2.875,2.5,2.5,1.9451241493225098,5100
1980-06-06,0.0,2.875,2.5,2.5,1.9451241493225098,3000
1980-06-09,0.0,3.0,2.625,2.625,2.0423803329467773,10600
1980-06-10,0.0,3.0,2.625,2.625,2.0423803329467773,7500
1980-06-11,0.0,3.0,2.625,2.625,2.0423803329467773,4300
1980-06-12,0.0,2.875,2.5,2.5,1.9451241493225098,10600
1980-06-13,0.0,2.875,2.5,2.5,1.9451241493225098,15500
1980-06-16,0.0,3.0,2.625,2.625,2.0423803329467773,4900
1980-06-17,0.0,3.0,2.625,2.625,2.0423803329467773,600
1980-06-18,0.0,3.0,2.625,2.625,2.0423803329467773,5900
1980-06-19,0.0,3.0,2.625,2.625,2.0423803329467773,6700
1980-06-20,0.0,3.0,2.625,2.625,2.0423803329467773,3400
1980-06-23,0.0,3.125,2.75,2.75,2.139636754989624,5500
1980-06-24,0.0,3.125,2.75,2.75,2.139636754989624,9100
1980-06-25,0.0,3.125,2.75,2.75,2.139636754989624,5700
1980-06-26,0.0,3.125,2.75,2.75,2.139636754989624,12500
1980-06-27,0.0,3.125,2.75,2.75,2.139636754989624,4700
1980-06-30,0.0,3.125,2.75,2.75,2.139636754989624,12700
1980-07-01,0.0,3.125,2.75,2.75,2.139636754989624,7600
1980-07-02,0.0,3.125,2.75,2.75,2.139636754989624,11700
1980-07-03,0.0,3.0,2.625,2.625,2.0423803329467773,12500
1980-07-07,0.0,2.875,2.75,2.75,2.139636754989624,7500
1980-07-08,0.0,3.0,2.75,2.75,2.139636754989624,6800
1980-07-09,0.0,3.125,3.0,3.0,2.334149122238159,9400
1980-07-10,0.0,3.25,3.0,3.0,2.334149122238159,20200
1980-07-11,0.0,3.25,3.125,3.125,2.4314050674438477,4900
1980-07-14,0.0,3.25,3.125,3.125,2.4314050674438477,2000
1980-07-15,0.0,3.25,3.125,3.125,2.4314050674438477,6400
1980-07-16,0.0,3.25,3.0,3.0,2.334149122238159,12300
1980-07-17,0.0,3.25,3.0,3.0,2.334149122238159,800
1980-07-18,0.0,3.25,3.125,3.125,2.4314050674438477,6500
1980-07-21,0.0,3.375,3.25,3.25,2.5286612510681152,13900
1980-07-22,0.0,3.375,3.25,3.25,2.5286612510681152,11800
1980-07-23,0.0,3.5,3.25,3.25,2.5286612510681152,10100
1980-07-24,0.0,3.625,3.5,3.5,2.7231736183166504,26700
1980-07-25,0.0,3.75,3.5,3.5,2.7231736183166504,15100
1980-07-28,0.0,3.875,3.75,3.75,2.91768741607666,24700
1980-07-29,0.0,3.875,3.75,3.75,2.91768741607666,34300
1980-07-30,0.0,4.25,4.125,4.125,3.2094552516937256,44400
1980-07-31,0.0,4.625,4.5,4.5,3.501223564147949,145500
1980-08-01,0.0,5.125,5.0,5.0,3.8902482986450195,283700
1980-08-04,0.0,5.125,4.875,4.875,3.79299259185791,115500
1980-08-05,0.0,4.875,4.75,4.75,3.6957356929779053,91400
1980-08-06,0.0,4.75,4.625,4.625,3.598479986190796,80200
1980-08-07,0.0,4.625,4.5,4.5,3.501223564147949,51300
1980-08-08,0.0,4.75,4.5,4.5,3.501223564147949,70700
1980-08-11,0.0,5.125,5.0,5.0,3.8902482986450195,120800
1980-08-12,0.0,4.875,4.75,4.75,3.6957356929779053,110200
1980-08-13,0.0,5.0,4.75,4.75,3.6957356929779053,39900
1980-08-14,0.0,5.0,4.875,4.875,3.79299259185791,47900
1980-08-15,0.0,5.0,4.875,4.875,3.79299259185791,45700
1980-08-18,0.0,5.0,4.875,4.875,3.79299259185791,24500
1980-08-19,0.0,4.875,4.75,4.75,3.6957356929779053,20000
1980-08-20,0.0,4.875,4.75,4.75,3.6957356929779053,25800
1980-08-21,0.0,5.125,5.0,5.0,3.8902482986450195,50500
1980-08-22,0.0,5.625,5.5,5.5,4.279273509979248,159200
1980-08-25,0.0,5.875,5.75,5.75,4.473784923553467,126400
1980-08-26,0.0,6.0,5.875,5.875,4.571041584014893,55500
1980-08-27,0.0,6.0,5.75,5.75,4.473784923553467,33500
1980-08-28,0.0,5.875,5.75,5.75,4.473784923553467,33800
1980-08-29,0.0,5.875,5.75,5.75,4.473784923553467,26300
1980-09-02,0.0,6.125,6.0,6.0,4.668298244476318,40900
1980-09-03,0.0,6.375,6.25,6.25,4.862810134887695,37300
1980-09-04,0.0,6.0,5.75,5.75,4.473784923553467,62100
1980-09-05,0.0,6.0,5.875,5.875,4.571041584014893,28700
1980-09-08,0.0,5.75,5.625,5.625,4.376530170440674,19400
1980-09-09,0.0,5.875,5.75,5.75,4.473784923553467,294000
1980-09-10,0.0,7.25,7.125,7.125,5.543603420257568,320500
1980-09-11,0.0,7.25,7.125,7.125,5.543603420257568,174600
1980-09-12,0.0,6.875,6.625,6.625,5.154580116271973,55700
1980-09-15,0.0,6.625,6.5,6.5,5.0573225021362305,42400
1980-09-16,0.0,6.75,6.625,6.625,5.154580116271973,27300
1980-09-17,0.0,6.875,6.625,6.625,5.154580116271973,54600
1980-09-18,0.0,6.75,6.625,6.625,5.154580116271973,56900
1980-09-19,0.0,6.75,6.625,6.625,5.154580116271973,24000
1980-09-22,0.0,6.75,6.625,6.625,5.154580116271973,22400
1980-09-23,0.0,6.5,6.375,6.375,4.960066795349121,41200
1980-09-24,0.0,6.375,6.25,6.25,4.862810134887695,44500
1980-09-25,0.0,6.125,6.0,6.0,4.668298244476318,28600
1980-09-26,0.0,6.125,5.875,5.875,4.571041584014893,39000
1980-09-29,0.0,5.875,5.625,5.625,4.376530170440674,14000
1980-09-30,0.0,5.875,5.75,5.75,4.473784923553467,30100
1980-10-01,0.0,6.125,6.0,6.0,4.668298244476318,35700
1980-10-02,0.0,6.375,6.125,6.125,4.765554904937744,45200
1980-10-03,0.0,6.875,6.75,6.75,5.251835823059082,43300
1980-10-06,0.0,7.0,6.875,6.875,5.349091053009033,31300
1980-10-07,0.0,6.875,6.75,6.75,5.251835823059082,34800
1980-10-08,0.0,7.0,6.75,6.75,5.251835823059082,19300
1980-10-09,0.0,6.875,6.75,6.75,5.251835823059082,24500
1980-10-10,0.0,6.75,6.5,6.5,5.0573225021362305,39300
1980-10-13,0.0,6.75,6.625,6.625,5.154580116271973,8800
1980-10-14,0.0,6.75,6.625,6.625,5.154580116271973,19500
1980-10-15,0.0,6.75,6.625,6.625,5.154580116271973,14600
1980-10-16,0.0,6.75,6.625,6.625,5.154580116271973,6200
1980-10-17,0.0,7.0,6.875,6.875,5.349091053009033,31300
1980-10-20,0.0,7.625,7.5,7.5,5.83537483215332,49400
1980-10-21,0.0,7.375,7.25,7.25,5.640859603881836,71300
1980-10-22,0.0,7.0,6.875,6.875,5.349091053009033,23900
1980-10-23,0.0,6.625,6.5,6.5,5.0573225021362305,20900
1980-10-24,0.0,6.875,6.75,6.75,5.251835823059082,15200
1980-10-27,0.0,6.875,6.75,6.75,5.251835823059082,7000
1980-10-28,0.0,7.125,7.0,7.0,5.446347236633301,28000
1980-10-29,0.0,7.625,7.5,7.5,5.83537483215332,48700
1980-10-30,0.0,7.5,7.375,7.375,5.738116264343262,25500
1980-10-31,0.0,7.25,7.125,7.125,5.543603420257568,12200
