Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,0.0,17.5,14.875,17.5,6.848748207092285,29900
1973-05-04,0.0,17.625,15.125,15.75,6.163870811462402,29400
1973-05-07,0.0,15.625,14.625,15.0,5.870355606079102,26900
1973-05-08,0.0,15.375,14.875,15.25,5.968195915222168,22700
1973-05-09,0.0,16.625,15.625,16.0,6.261711597442627,27500
1973-05-10,0.0,17.375,16.125,17.125,6.70198917388916,26500
1973-05-11,0.0,17.0,15.875,15.875,6.212794780731201,23800
1973-05-14,0.0,15.625,15.0,15.125,5.919275283813477,17200
1973-05-15,0.0,16.0,14.875,15.75,6.163870811462402,28500
1973-05-16,0.0,15.625,15.0,15.5,6.066033840179443,11700
1973-05-17,0.0,15.25,15.0,15.0,5.870355606079102,13500
1973-05-18,0.0,14.75,13.875,14.25,5.57683801651001,29900
1973-05-21,0.0,14.125,13.5,14.0,5.47899866104126,21400
1973-05-22,0.0,14.5,13.875,14.375,5.625757694244385,25000
1973-05-23,0.0,15.0,14.0,14.25,5.57683801651001,12600
1973-05-24,0.0,15.625,14.125,15.625,6.114954471588135,19700
1973-05-25,0.0,16.625,15.25,15.875,6.212794780731201,29300
1973-05-29,0.0,15.875,15.5,15.75,6.163870811462402,8400
1973-05-30,0.0,15.625,15.125,15.25,5.968195915222168,9300
1973-05-31,0.0,15.375,14.625,15.0,5.870355606079102,20900
1973-06-01,0.0,14.75,14.625,14.625,5.723597526550293,6500
1973-06-04,0.0,14.5,13.625,14.125,5.527918815612793,17300
1973-06-05,0.0,14.875,13.875,14.5,5.674677848815918,12100
1973-06-06,0.0,14.625,13.625,13.625,5.332241535186768,15500
1973-06-07,0.0,14.25,13.75,14.0,5.47899866104126,11500
1973-06-08,0.0,14.5,14.0,14.375,5.625757694244385,11400
1973-06-11,0.0,15.75,14.625,15.0,5.870355606079102,16900
1973-06-12,0.0,15.625,14.875,15.375,6.017115592956543,30700
1973-06-13,0.0,16.25,15.625,15.75,6.163870811462402,36100
1973-06-14,0.0,15.875,15.0,15.0,5.870355606079102,22700
1973-06-15,0.0,14.75,14.125,14.125,5.527918815612793,26200
