Date,Open,High,Low,Close,Adj Close,Volume
1992-01-31,12.25,12.25,10.9375,11.125,6.380722999572754,19977200
1992-02-03,11.0,11.1875,10.5625,10.8125,6.2014899253845215,4132000
1992-02-04,10.75,10.875,10.625,10.625,6.093945026397705,1891000
1992-02-05,11.0,11.375,10.875,11.0625,6.344875812530518,3734600
1992-02-06,11.125,11.25,11.0,11.125,6.380722999572754,1074200
1992-02-07,11.125,11.25,10.875,11.125,6.380722999572754,916200
1992-02-10,11.0,11.25,10.5,10.5,6.022254943847656,1289800
1992-02-11,10.5,11.375,10.5,11.0,6.309030055999756,1285600
1992-02-12,11.0,11.375,11.0,11.125,6.380722999572754,1226000
1992-02-13,11.0,11.25,10.5,10.625,6.093945026397705,786400
1992-02-14,10.5,11.0,10.5,10.875,6.237336158752441,584600
1992-02-18,11.0,11.0,10.375,10.375,5.9505615234375,918400
1992-02-19,10.375,10.625,10.375,10.625,6.093945026397705,977800
1992-02-20,10.375,10.625,10.375,10.5,6.022254943847656,846200
1992-02-21,10.375,10.5,10.125,10.125,5.807174205780029,664000
1992-02-24,10.375,10.625,10.125,10.5,6.022254943847656,791200
1992-02-25,10.5,10.75,10.375,10.4375,5.986408233642578,431400
1992-02-26,10.5,10.625,10.25,10.3125,5.9147138595581055,391600
1992-02-27,10.375,10.5,10.25,10.3125,5.9147138595581055,919400
1992-02-28,10.25,10.75,10.25,10.625,6.093945026397705,647400
1992-03-02,10.5,10.875,10.5,10.75,6.165640830993652,539600
1992-03-03,10.875,10.875,10.5,10.75,6.165640830993652,398000
1992-03-04,10.625,10.625,10.125,10.1875,5.843017578125,434600
1992-03-05,9.875,10.0,9.375,9.5,5.448706150054932,2622600
1992-03-06,9.75,10.125,9.5,9.75,5.592092990875244,1099600
1992-03-09,9.75,9.875,9.5,9.875,5.663785457611084,101200
1992-03-10,10.0,10.125,9.625,9.625,5.5203986167907715,775400
1992-03-11,9.75,9.75,9.375,9.4375,5.412858009338379,1485600
