Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,10.6875,9.5,9.5,5.7474846839904785,158600
1973-02-22,0.0,9.875,9.5625,9.5625,5.785297870635986,130400
1973-02-23,0.0,9.625,8.5,8.5625,5.180300235748291,430800
1973-02-26,0.0,8.8125,8.5625,8.625,5.218111991882324,134000
1973-02-27,0.0,8.6875,7.6875,8.0,4.839988708496094,137800
1973-02-28,0.0,8.5625,8.0,8.4375,5.104674339294434,124600
1973-03-01,0.0,8.5,7.9375,8.0,4.839988708496094,207400
1973-03-02,0.0,8.1875,7.9375,8.125,4.915612697601318,156200
1973-03-05,0.0,8.3125,8.125,8.125,4.915612697601318,79000
1973-03-06,0.0,9.125,8.125,9.0,5.444987773895264,137800
1973-03-07,0.0,9.3125,8.6875,9.0,5.444987773895264,126000
1973-03-08,0.0,9.0625,8.75,8.75,5.293736934661865,39000
1973-03-09,0.0,8.75,8.75,8.75,5.293736934661865,21400
1973-03-12,0.0,8.75,8.625,8.6875,5.255925178527832,23200
1973-03-13,0.0,8.625,8.5,8.5625,5.180300235748291,54000
1973-03-14,0.0,8.625,8.125,8.375,5.0668625831604,35200
1973-03-15,0.0,8.3125,8.0625,8.1875,4.953425884246826,17800
1973-03-16,0.0,8.25,8.0,8.0,4.839988708496094,75600
1973-03-19,0.0,8.0625,7.6875,7.75,4.688739776611328,40800
1973-03-20,0.0,7.9375,7.6875,7.9375,4.8021769523620605,50400
1973-03-21,0.0,8.1875,7.0625,7.1875,4.348426818847656,106200
1973-03-22,0.0,7.1875,6.875,6.9375,4.197176456451416,105600
1973-03-23,0.0,7.375,6.8125,7.125,4.310615539550781,113800
1973-03-26,0.0,8.140625,7.25,8.125,4.915612697601318,64600
1973-03-27,0.0,8.5625,8.0,8.3125,5.029050350189209,64800
1973-03-28,0.0,8.3125,7.8125,7.875,4.764364242553711,31400
1973-03-29,0.0,7.875,7.0,7.3125,4.424051284790039,453200
1973-03-30,0.0,7.3125,7.0,7.125,4.310615539550781,56600
1973-04-02,0.0,7.3125,7.125,7.125,4.310615539550781,26200
1973-04-03,0.0,7.25,7.125,7.125,4.310615539550781,22200
1973-04-04,0.0,7.1875,7.0625,7.0625,4.272800922393799,79800
1973-04-05,0.0,7.125,7.0625,7.0625,4.272800922393799,15600
1973-04-06,0.0,7.1875,7.0625,7.0625,4.272800922393799,27800
1973-04-09,0.0,7.1875,6.8125,7.125,4.310615539550781,106200
1973-04-10,0.0,7.1875,6.625,6.625,4.008113861083984,51600
1973-04-11,0.0,6.6875,6.25,6.4375,3.894676685333252,91600
1973-04-12,0.0,6.6875,6.25,6.25,3.7812392711639404,75400
1973-04-13,0.0,6.375,6.125,6.3125,3.8190536499023438,58400
1973-04-16,0.0,6.625,6.375,6.4375,3.894676685333252,33200
1973-04-17,0.0,6.5625,6.375,6.4375,3.894676685333252,35000
1973-04-18,0.0,6.75,6.375,6.75,4.083739757537842,25000
1973-04-19,0.0,6.6875,6.4375,6.5,3.932490825653076,25000
1973-04-23,0.0,6.4375,6.25,6.25,3.7812392711639404,26800
1973-04-24,0.0,6.3125,6.0,6.0625,3.6678028106689453,24600
1973-04-25,0.0,6.0625,5.5,5.5,3.32749342918396,87400
1973-04-26,0.0,6.0625,5.125,6.0625,3.6678028106689453,143400
1973-04-27,0.0,6.0625,5.4375,5.625,3.4031167030334473,38800
1973-04-30,0.0,6.375,5.9375,6.1875,3.743429183959961,88400
