Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,16.5,15.9375,16.0,5.327103137969971,69200.0
1973-02-22,0.0,16.0,15.8125,15.8125,5.26467752456665,79600.0
1973-02-23,0.0,15.9375,15.0625,15.25,5.077393531799316,158000.0
1973-02-26,0.0,15.25,15.0,15.25,5.077393531799316,50200.0
1973-02-27,0.0,15.375,14.875,14.875,4.952542304992676,17800.0
1973-02-28,0.0,15.375,15.0,15.125,5.0357770919799805,103800.0
1973-03-01,0.0,15.25,15.0,15.1875,5.056584358215332,81000.0
1973-03-02,0.0,15.1875,14.875,15.1875,5.056584358215332,16600.0
1973-03-05,0.0,15.4375,15.125,15.25,5.077393531799316,10200.0
1973-03-06,0.0,16.125,15.375,15.875,5.285488128662109,47000.0
1973-03-07,0.0,16.1875,15.625,16.1875,5.389529228210449,43200.0
1973-03-08,0.0,16.3125,16.125,16.3125,5.431146621704102,12600.0
1973-03-09,0.0,16.3125,16.1875,16.1875,5.389529228210449,10800.0
1973-03-12,0.0,16.3125,16.0,16.3125,5.431146621704102,8400.0
1973-03-13,0.0,16.6875,16.375,16.6875,5.556001663208008,18600.0
1973-03-14,0.0,17.0,16.8125,17.0,5.660045146942139,43400.0
1973-03-15,0.0,17.0,16.6875,16.8125,5.597620487213135,11800.0
1973-03-16,0.0,16.75,16.1875,16.375,5.451958179473877,69200.0
1973-03-19,0.0,16.25,15.625,15.625,5.2022504806518555,8200.0
1973-03-20,0.0,15.5,15.125,15.5,5.160630226135254,76400.0
1973-03-21,0.0,15.625,15.25,15.25,5.077393531799316,11000.0
1973-03-22,0.0,15.375,15.125,15.125,5.0357770919799805,13400.0
1973-03-23,0.0,15.1875,15.0,15.0625,5.014967918395996,30400.0
1973-03-26,0.0,15.1875,15.0,15.1875,5.056584358215332,26400.0
1973-03-27,0.0,16.375,15.25,16.125,5.368720531463623,30200.0
1973-03-28,0.0,16.5,16.0,16.5,5.493574142456055,33800.0
1973-03-29,0.0,16.5,16.3125,16.3125,5.431146621704102,38800.0
1973-03-30,0.0,16.0625,15.75,15.8125,5.26467752456665,24400.0
1973-04-02,0.0,15.5,15.4375,15.4375,5.139821529388428,20800.0
1973-04-03,0.0,15.375,15.0,15.0625,5.014967918395996,33200.0
1973-04-04,0.0,15.125,14.75,15.0,4.9941582679748535,16800.0
1973-04-05,0.0,15.0625,14.625,15.0,4.9941582679748535,27200.0
1973-04-06,0.0,15.5,14.75,15.0,4.9941582679748535,29600.0
1973-04-09,0.0,15.0625,14.875,14.875,4.952542304992676,46200.0
1973-04-10,0.0,15.375,15.0,15.25,5.077393531799316,34600.0
1973-04-11,0.0,15.75,15.375,15.75,5.243865013122559,18200.0
1973-04-12,0.0,16.5,15.8125,16.125,5.368720531463623,20200.0
1973-04-13,0.0,16.625,16.0,16.5625,5.51438570022583,14800.0
1973-04-16,0.0,16.6875,16.125,16.125,5.368720531463623,18200.0
1973-04-17,0.0,16.5,16.25,16.5,5.493574142456055,16000.0
1973-04-18,0.0,16.5,16.375,16.375,5.451958179473877,16600.0
1973-04-19,0.0,16.75,16.5,16.5,5.493574142456055,19800.0
1973-04-23,0.0,16.0,15.875,15.875,5.285488128662109,59200.0
1973-04-24,0.0,15.9375,15.75,15.75,5.243865013122559,6200.0
1973-04-25,0.0,15.75,15.0,15.0,4.9941582679748535,57000.0
1973-04-26,0.0,15.125,14.75,14.8125,4.931730270385742,65400.0
1973-04-27,0.0,14.8125,14.25,14.25,4.744451522827148,64000.0
1973-04-30,0.0,14.0,13.5,13.75,4.577978610992432,92800.0
1973-05-01,0.0,13.875,13.0,13.0,4.32827091217041,62600.0
1973-05-02,0.0,13.5,12.875,13.375,4.453125,79800.0
1973-05-03,0.0,13.625,13.0,13.5,4.494744777679443,48400.0
1973-05-04,0.0,14.375,14.125,14.1875,4.723642826080322,32600.0
1973-05-07,0.0,14.5,14.25,14.375,4.786069869995117,6800.0
1973-05-08,0.0,14.25,14.0,14.125,4.702831745147705,35000.0
1973-05-09,0.0,14.25,13.625,13.875,4.6195969581604,58600.0
1973-05-10,0.0,13.75,13.5,13.75,4.577978610992432,4600.0
1973-05-11,0.0,13.5625,13.0,13.0,4.32827091217041,5800.0
1973-05-14,0.0,12.75,12.5,12.5625,4.1826090812683105,76600.0
1973-05-15,0.0,12.8125,12.25,12.8125,4.265844345092773,41000.0
1973-05-16,0.0,13.125,12.5,13.125,4.369887351989746,21400.0
1973-05-17,0.0,13.5,13.0,13.0625,4.3490800857543945,41800.0
1973-05-18,0.0,13.0,12.9375,13.0,4.32827091217041,56400.0
1973-05-21,0.0,13.0,12.75,12.75,4.245035648345947,42400.0
1973-05-22,0.0,13.125,12.75,12.8125,4.265844345092773,52600.0
1973-05-23,0.0,13.125,12.75,13.0,4.32827091217041,115000.0
1973-05-24,0.0,14.0,13.125,13.8125,4.598787307739258,50400.0
1973-05-25,0.0,14.0,13.75,13.875,4.6195969581604,27400.0
1973-05-29,0.0,13.875,13.125,13.25,4.411508083343506,20800.0
1973-05-30,0.0,13.375,13.125,13.1875,4.3906989097595215,29800.0
1973-05-31,0.0,13.375,13.125,13.25,4.411508083343506,16200.0
1973-06-01,0.0,13.25,13.0,13.0,4.32827091217041,15000.0
1973-06-04,0.0,12.875,12.375,12.5,4.161800384521484,38400.0
1973-06-05,0.0,12.75,12.5,12.75,4.245035648345947,11600.0
1973-06-06,0.0,12.75,11.9375,12.125,4.036947250366211,87600.0
1973-06-07,0.0,12.375,12.125,12.25,4.0785627365112305,23000.0
1973-06-08,0.0,12.75,12.25,12.625,4.2034173011779785,18600.0
1973-06-11,0.0,12.625,12.375,12.375,4.120181083679199,16600.0
1973-06-12,0.0,12.875,12.375,12.875,4.286650657653809,24200.0
1973-06-13,0.0,12.9375,12.625,12.9375,4.307462692260742,48200.0
1973-06-14,0.0,13.25,12.75,12.8125,4.265844345092773,45800.0
1973-06-15,0.0,12.625,12.5,12.5,4.161800384521484,78000.0
1973-06-18,0.0,12.5,11.875,11.875,3.953709363937378,28800.0
1973-06-19,0.0,12.125,11.875,12.125,4.036947250366211,24400.0
1973-06-20,0.0,12.625,12.5,12.5625,4.1826090812683105,24400.0
1973-06-21,0.0,12.875,12.375,12.75,4.245035648345947,22400.0
